category,price,currency,price_1m2,title,address,floor,area,title_deed,repair,mortgage,url,room_number
Yeni tikili,62 000,AZN,1 550 AZN/m²,"Satılır 2 otaqlı yeni tikili 40 m², Masazır q.","Masazır, Yeni Bakı yaşayış kompleksi bina 15",7 / 7,40 m²,var,var,,https://bina.az/items/3836374,2.0
Köhnə tikili,89 500,AZN,1 950 AZN/m²,"Satılır 2 otaqlı köhnə tikili 46 m², Nizami m.",Cəfər Cabbarlı küç. 45,2 / 2,46 m²,var,var,,https://bina.az/items/3836371,2.0
Köhnə tikili,172 000,AZN,2 650 AZN/m²,"Satılır 3 otaqlı köhnə tikili 65 m², Gənclik m.",A.Alı küçəsi,2 / 9,65 m²,var,var,var,https://bina.az/items/3836299,3.0
Yeni tikili,328 000,AZN,1 770 AZN/m²,"Satılır 4 otaqlı yeni tikili 185.5 m², Nəsimi r.",Xan Şuşinski 21,15 / 20,185.5 m²,var,var,var,https://bina.az/items/3722141,4.0
Köhnə tikili,175 000,AZN,1 940 AZN/m²,"Satılır 3 otaqlı köhnə tikili 90 m², 9-cu mikrorayon q.",Adil Məmmədov 117,3 / 9,90 m²,var,var,,https://bina.az/items/3836323,3.0
Yeni tikili,183 000,AZN,2 470 AZN/m²,"Satılır 2 otaqlı yeni tikili 74 m², Nəsimi r.",Mərdanov Qardaşları küç. 23,6 / 16,74 m²,var,var,,https://bina.az/items/3819998,2.0
Köhnə tikili,215 000,AZN,2 310 AZN/m²,"Satılır 4 otaqlı köhnə tikili 93 m², Elmlər Akademiyası m.",K.Kazimzadə küç,2 / 3,93 m²,var,yoxdur,,https://bina.az/items/3836318,4.0
Yeni tikili,380 000,AZN,2 920 AZN/m²,"Satılır 3 otaqlı yeni tikili 130 m², Elmlər Akademiyası m.",Mətbuat prospektı,15 / 22,130 m²,var,var,,https://bina.az/items/3836312,3.0
Yeni tikili,350 000,AZN,2 080 AZN/m²,"Satılır 4 otaqlı yeni tikili 168 m², 28 May m.",Nemət Quliyev küç.,10 / 16,168 m²,yoxdur,yoxdur,,https://bina.az/items/3116393,4.0
Yeni tikili,650 000,AZN,3 250 AZN/m²,"Satılır 4 otaqlı yeni tikili 200 m², Ağ şəhər q.",1- ci Fəvvarələr küç,6 / 7,200 m²,var,var,,https://bina.az/items/3618381,4.0
Yeni tikili,255 000,AZN,2 520 AZN/m²,"Satılır 3 otaqlı yeni tikili 101 m², 8 Noyabr m.",Şəfayət Mehdiyev 1054,15 / 17,101 m²,var,var,,https://bina.az/items/3785939,3.0
Yeni tikili,390 000,AZN,2 220 AZN/m²,"Satılır 4 otaqlı yeni tikili 175.9 m², Nəsimi r.",Mərdənov Qardaşaları küç,9 / 17,175.9 m²,yoxdur,var,,https://bina.az/items/3109011,4.0
Yeni tikili,445 000,AZN,2 020 AZN/m²,"Satılır 4 otaqlı yeni tikili 220 m², Sahil m.",Nizami küçəsi 21,12 / 14,220 m²,var,var,,https://bina.az/items/3156720,4.0
Yeni tikili,150 000,AZN,2 240 AZN/m²,"Satılır 3 otaqlı yeni tikili 67 m², Həzi Aslanov q.",Çingiz Xankərimov küç.,16 / 17,67 m²,var,var,,https://bina.az/items/3836284,3.0
Yeni tikili,335 000,AZN,1 890 AZN/m²,"Satılır 3 otaqlı yeni tikili 177 m², Nəsimi r.",A. Səhhət küç,7 / 17,177 m²,var,var,,https://bina.az/items/3836282,3.0
